"","Model","AIC_REML","AIC_ML","h_block_cv","lolo_cv","Delta_AIC_REML","Delta_AIC_ML"
"1","Normal_Nonspatial",193796.005058164,193778.19499212,3.58355614662442,3.63151477762988,8749.89046062072,8743.66605073953
"2","Lognormal_Nonspatial",194268.057198795,194268.057198795,3.65516706895077,3.67435716268094,9221.9426012522,9233.52825741508
"3","Gamma_Nonspatial",193994.942425148,193994.942425148,3.6245078936641,3.65360280964193,8948.82782760504,8960.41348376792
"4","Normal_Spatial",185046.114597543,185034.52894138,4.01511482899981,4.10692725935546,0,0
"5","Lognormal_Spatial",185232.537328591,185221.160140726,4.1546019244786,4.16058610659912,186.422731047933,186.631199346069
"6","Gamma_Spatial",185081.41847157,185069.931273702,4.09978423078322,4.12947440190386,35.3038740272459,35.4023323221481
